lat,lon,name,location_type,pm_2.5,10min_avg,1hour_avg,1day_avg,1week_avg
21.09828,105.60278,AQSEA_VN_005,outside,140.21,172.83,146.0,145.27,106.45
20.995215,105.779496,AQSEA_VN_003,outside,139.23,136.85,125.15,134.76,104.07
39.212922,-120.090107,Woody Bliss,outside,0.0,0.1,1.12,131.75,103.86
21.073506,105.822389,"399 Au Co, Hanoi",outside,294.85,286.13,203.98,139.97,103.14
44.982365,16.719692,"Prijedor, Kozarska ulica",outside,23.6,26.78,31.89,77.13,101.96
48.985569,106.455436,Zuunkharaa_01,outside,114.78,181.67,144.06,122.63,101.94
30.751583,76.762862,NASA_AQCS_138,outside,102.71,101.39,101.64,107.45,94.44
28.545041,77.191111,NASA_AQCS_114,outside,359.16,366.72,381.82,252.34,93.31
21.063037,105.794764,AQSEA_VN_009,outside,247.55,232.5,153.68,123.3,93.19
47.472278,101.462472,Arkhangai_01,outside,51.25,73.34,70.11,117.35,92.51
45.73679,-122.591722,Indoor Sensor,inside,20.16,17.77,18.35,110.33,91.76
28.545516,77.369754,NASA_AQCS_133,outside,97.28,94.51,100.93,167.64,90.95
27.648724,84.340343,"Bharatpur-19, Rampur",outside,99.43,91.37,99.65,100.73,89.82
20.987117,105.839831,AQSEA_VN_006,outside,188.55,175.1,127.72,118.55,89.8
38.400514,-122.330647,Realm Cellars Tank Room 4,inside,279.32,269.84,282.95,188.56,86.27
37.742814,-122.503712,45th and Taraval,inside,28.73,59.4,99.34,77.9,86.22
20.457552,106.324363,AQSEA_VN_016,outside,106.42,133.87,149.48,105.62,85.34
49.490082,105.940393,Darkhan_01,outside,8.02,8.1,7.99,78.84,85.07
40.667309,-111.799645,South Olympus,outside,57.18,58.67,64.82,84.01,84.35
20.541437,105.922874,AQSEA_VN_011,outside,85.89,94.37,86.13,102.03,83.51
28.546516,77.190743,Indian Institute of Technology Delhi,outside,63.65,66.33,70.41,66.78,82.47
40.191295,44.505784,Lover's Park Apartment (balcony),outside,44.51,48.0,57.92,83.65,80.91
43.78211,19.290056,"Visegrad, Trg palih boraca",outside,11.78,13.57,25.3,104.39,80.5
28.543758,77.191922,Quest Lab,inside,226.76,214.67,196.19,223.74,78.89
28.48975,77.09255,Gurgaon #2,inside,81.72,82.22,78.37,56.6,78.64
27.578435,81.585087,SAMOSA_0055,outside,303.31,287.52,281.34,219.48,77.96
44.850751,17.235324,"Banja Luka, Trn",outside,22.96,23.08,35.96,72.5,76.6
